claude-3-5-haiku-20241022|claude-sonnet-4-20250514_jaccard,claude-3-5-haiku-20241022|claude-sonnet-4-20250514_rbo,claude-3-5-haiku-20241022|claude-sonnet-4-20250514_alpha,gpt-4.1-mini|gpt-4.1_jaccard,gpt-4.1-mini|gpt-4.1_rbo,gpt-4.1-mini|gpt-4.1_alpha,claude-3-5-haiku-20241022|gpt-4.1-mini_jaccard,claude-3-5-haiku-20241022|gpt-4.1-mini_rbo,claude-3-5-haiku-20241022|gpt-4.1-mini_alpha,claude-sonnet-4-20250514|gpt-4.1_jaccard,claude-sonnet-4-20250514|gpt-4.1_rbo,claude-sonnet-4-20250514|gpt-4.1_alpha
0.5,0.489,0.467741935483871,0.5,0.568,0.3013698630136986,0.313,0.383,-0.08196721311475397,0.5,0.241,-0.04081632653061229
0.588,0.38,-0.029850746268656803,0.762,0.848,0.7154471544715447,0.55,0.382,-0.026022304832713727,0.65,0.569,0.24407582938388617
0.571,0.648,0.4736842105263158,0.762,0.708,0.08943089430894313,0.3,0.559,0.3421052631578947,0.65,0.626,0.03835616438356171
0.4,0.159,-0.03703703703703698,0.625,0.707,0.4444444444444444,0.308,0.164,-0.03703703703703698,0.769,0.595,0.16022099447513816
0.625,0.376,0.06557377049180335,0.8,0.403,0.03094462540716625,0.474,0.578,0.27717391304347827,0.7,0.651,0.1673553719008265
0.611,0.596,0.19293478260869568,0.737,0.349,-0.029045643153526868,0.55,0.616,0.11956521739130432,0.55,0.323,-0.02594339622641506
0.188,0.074,0,0.895,0.673,0.03296703296703307,0.111,0.005,0,0.75,0.2,-0.024793388429751984
0.588,0.499,0.129746835443038,0.857,0.266,-0.026277372262773824,0.545,0.516,-0.021621621621621623,0.524,0.229,0.059561128526645746
0.333,0.057,-0.034482758620689724,0.273,0.313,-0.0439560439560438,0.212,0.238,-0.034482758620689724,0.636,0.136,-0.04347826086956519
0.308,0.253,0.1923076923076923,0.556,0.493,0.05063291139240511,0.267,0.208,-0.07692307692307687,0.529,0.425,-0.028481012658227778
0.688,0.691,0.2432432432432432,0.864,0.787,0.4362680683311433,0.476,0.676,0.15246636771300448,0.609,0.726,0.1639004149377593
0.444,0.359,0.3571428571428572,0.769,0.622,0.26519337016574596,0.286,0.221,-0.04651162790697683,0.5,0.204,-0.04347826086956519
0.25,0.358,0.37209302325581395,0.789,0.304,0.03791469194312791,0.2,0.067,0,0.471,0.492,0.27322404371584696
0.357,0.107,-0.01538461538461533,0.55,0.495,0.04245283018867929,0.313,0.111,-0.01538461538461533,0.706,0.646,0.20127795527156545
0.667,0.288,0.09302325581395343,0.5,0.598,0.27717391304347827,0.5,0.394,0.2441860465116279,0.385,0.235,0.08695652173913049
0.333,0.237,-0.025641025641025772,0.583,0.543,-0.02372262773722622,0.208,0.175,-0.008403361344537785,0.48,0.259,-0.020000000000000018
0.667,0.49,0.21052631578947367,0.583,0.596,0.6086956521739131,0.583,0.383,0.08695652173913049,0.538,0.511,0.21739130434782616
