"model","citationType","searches","Bing_cited","Bing_char_len","Bing_char_len_avg","Google_cited","Google_char_len","Google_char_len_avg","Brave_cited","Brave_char_len","Brave_char_len_avg","pos_0","pos_1","pos_2","pos_3","pos_4","pos_5","pos_6","pos_7","pos_8","pos_9","pos_10","pos_11","pos_12","pos_13","pos_14","pos_15","pos_16","pos_17","pos_18","pos_19","pos_20","pos_21","pos_22","pos_23","pos_24","pos_25","pos_26","pos_27","pos_28","pos_29","pos_30","pos_31","pos_32","pos_33","pos_34","pos_35","pos_36","pos_37","pos_38","pos_42","pos_39","pos_40","pos_43"
"claude-3-5-haiku-20241022","getCitedAll","976","3929","1197585","304.8065665563757","1831","285145","155.73184052430366","3115","909968","292.12455858747995","588","748","534","514","585","440","402","515","374","295","390","322","240","308","257","234","286","206","175","191","185","157","161","128","111","103","98","80","52","52","43","41","31","10","9","7","2","1","","","","",""
"claude-3-5-haiku-20241022","getCitedOnce","976","2872","862410","300.28203342618383","1575","245091","155.61333333333334","2529","725319","286.80071174377224","409","489","395","387","411","335","313","397","300","252","311","261","204","257","211","202","232","175","145","160","161","135","139","117","95","97","86","76","47","47","40","40","25","8","7","7","2","1","","","","",""
"claude-3-5-haiku-20241022","getCitedFirst","976","3929","1197585","304.8065665563757","1831","285145","155.73184052430366","3115","909968","292.12455858747995","588","748","534","514","585","440","402","515","374","295","390","322","240","308","257","234","286","206","175","191","185","157","161","128","111","103","98","80","52","52","43","41","31","10","9","7","2","1","","","","",""
"claude-sonnet-4-20250514","getCitedAll","976","7841","2342358","298.7320494834843","3974","618410","155.61399094111727","7099","2030918","286.0850824059727","1216","1366","935","946","1050","861","775","962","754","642","772","630","570","658","598","504","633","479","460","516","451","403","432","321","376","309","291","230","177","150","130","119","73","41","32","26","11","12","3","","","",""
"claude-sonnet-4-20250514","getCitedOnce","976","4709","1370008","290.93395625398176","3064","475251","155.10802872062663","5019","1392352","277.4162183701933","727","739","611","617","627","550","532","602","497","455","515","436","411","441","434","367","435","355","332","373","327","306","308","250","273","240","214","180","140","120","108","94","64","35","28","25","10","11","3","","","",""
"claude-sonnet-4-20250514","getCitedFirst","976","7841","2342358","298.7320494834843","3974","618410","155.61399094111727","7099","2030918","286.0850824059727","1216","1366","935","946","1050","861","775","962","754","642","772","630","570","658","598","504","633","479","460","516","451","403","432","321","376","309","291","230","177","150","130","119","73","41","32","26","11","12","3","","","",""
"gpt-4.1","getCitedAll","976","13455","3936747","292.58617614269787","6206","968245","156.0175636480825","13385","3768982","281.582517743743","1861","1925","1315","1316","1673","1201","1090","1355","996","992","1263","1035","1054","1366","1024","974","1181","882","897","1070","938","886","971","819","765","694","642","566","502","427","432","267","245","162","79","92","39","40","8","2","","",""
"gpt-4.1","getCitedOnce","976","5691","1628937","286.23036373220873","3357","520597","155.0780458742925","6370","1728172","271.29858712715856","766","782","631","631","699","577","555","622","516","515","579","497","493","594","500","467","542","425","423","492","438","416","444","399","365","332","324","285","234","207","203","131","115","85","42","47","22","18","4","1","","",""
"gpt-4.1","getCitedFirst","976","13455","3936747","292.58617614269787","6206","968245","156.0175636480825","13385","3768982","281.582517743743","1861","1925","1315","1316","1673","1201","1090","1355","996","992","1263","1035","1054","1366","1024","974","1181","882","897","1070","938","886","971","819","765","694","642","566","502","427","432","267","245","162","79","92","39","40","8","2","","",""
"gpt-4.1-mini","getCitedAll","976","11276","3308882","293.4446612273856","6170","960415","155.65883306320907","11753","3268889","278.1323066451119","1882","1806","1408","1351","1419","1237","1175","1223","1056","986","1134","888","896","1101","913","831","937","736","794","870","738","689","757","545","565","599","525","442","414","303","295","188","190","100","78","59","33","26","7","","1","1","1"
"gpt-4.1-mini","getCitedOnce","976","5631","1623387","288.29461907298884","3709","575462","155.1528713939067","6630","1793012","270.4392156862745","852","826","725","702","719","657","638","652","598","572","602","495","515","589","520","485","519","441","453","485","437","411","430","350","340","359","309","262","240","186","176","123","110","61","48","40","18","16","6","","1","1","1"
"gpt-4.1-mini","getCitedFirst","976","11276","3308882","293.4446612273856","6170","960415","155.65883306320907","11753","3268889","278.1323066451119","1882","1806","1408","1351","1419","1237","1175","1223","1056","986","1134","888","896","1101","913","831","937","736","794","870","738","689","757","545","565","599","525","442","414","303","295","188","190","100","78","59","33","26","7","","1","1","1"
