"model","citationType","searches","Bing_cited","Bing_char_len","Bing_char_len_avg","Google_cited","Google_char_len","Google_char_len_avg","Brave_cited","Brave_char_len","Brave_char_len_avg","pos_0","pos_1","pos_2","pos_3","pos_4","pos_5","pos_6","pos_7","pos_8","pos_9","pos_10","pos_11","pos_12","pos_13","pos_14","pos_15","pos_16","pos_17","pos_18","pos_19","pos_20","pos_21","pos_22","pos_23","pos_24","pos_25","pos_26","pos_27","pos_28","pos_29","pos_30","pos_31","pos_32","pos_33","pos_34","pos_35","pos_36","pos_37","pos_38","pos_42","pos_39","pos_40","pos_43"
"claude-3-5-haiku-20241022","getCitedAll","976","3929","1197585","304.8065665563757","1831","285145","155.73184052430366","3115","909968","292.12455858747995","588","748","534","514","585","440","402","515","374","295","390","322","240","308","257","234","286","206","175","191","185","157","161","128","111","103","98","80","52","52","43","41","31","10","9","7","2","1","","","","",""
"claude-3-5-haiku-20241022","getCitedOnce","976","2872","862410","300.28203342618383","1575","245091","155.61333333333334","2529","725319","286.80071174377224","409","489","395","387","411","335","313","397","300","252","311","261","204","257","211","202","232","175","145","160","161","135","139","117","95","97","86","76","47","47","40","40","25","8","7","7","2","1","","","","",""
"claude-3-5-haiku-20241022","getCitedFirst","976","385","119007","309.1090909090909","178","27536","154.69662921348313","304","87856","289","69","75","58","50","72","50","23","49","38","27","42","31","18","33","20","24","23","18","14","15","19","20","12","6","8","7","11","12","7","10","2","3","1","","","","","","","","","",""
"claude-sonnet-4-20250514","getCitedAll","976","7841","2342358","298.7320494834843","3971","617924","155.6091664568119","7098","2030785","286.10664976049594","1216","1366","934","943","1050","861","775","962","754","642","772","630","570","658","598","504","633","479","460","516","451","403","432","321","376","309","291","230","177","150","130","119","73","41","32","26","11","12","3","","","",""
"claude-sonnet-4-20250514","getCitedOnce","976","4709","1370008","290.93395625398176","3064","475251","155.10802872062663","5019","1392352","277.4162183701933","727","739","611","617","627","550","532","602","497","455","515","436","411","441","434","367","435","355","332","373","327","306","308","250","273","240","214","180","140","120","108","94","64","35","28","25","10","11","3","","","",""
"claude-sonnet-4-20250514","getCitedFirst","976","426","130338","305.9577464788732","190","29477","155.1421052631579","304","86451","284.3782894736842","97","100","54","56","55","53","36","57","26","26","43","32","28","29","22","19","23","15","19","19","14","13","15","13","16","7","9","7","4","4","1","4","3","","1","","","","","","","",""
"gpt-4.1","getCitedAll","976","13453","3936074","292.5796476622315","6205","968081","156.01627719580983","13383","3768387","281.580138982291","1861","1925","1314","1316","1673","1201","1090","1354","996","992","1263","1035","1054","1366","1024","974","1180","882","896","1070","938","886","971","819","765","694","642","565","502","427","432","267","245","162","79","92","39","40","8","2","","",""
"gpt-4.1","getCitedOnce","976","5691","1628937","286.23036373220873","3357","520597","155.0780458742925","6370","1728172","271.29858712715856","766","782","631","631","699","577","555","622","516","515","579","497","493","594","500","467","542","425","423","492","438","416","444","399","365","332","324","285","234","207","203","131","115","85","42","47","22","18","4","1","","",""
"gpt-4.1","getCitedFirst","976","393","118227","300.8320610687023","231","35976","155.74025974025975","266","77770","292.36842105263156","172","147","84","70","63","48","31","44","24","17","25","13","20","15","13","12","10","8","6","9","9","10","4","3","5","7","4","5","1","1","4","1","2","2","","1","","","","","","",""
"gpt-4.1-mini","getCitedAll","976","11274","3308184","293.43480574773815","6165","959607","155.65401459854016","11751","3268294","278.129010296996","1881","1806","1407","1350","1419","1237","1174","1221","1056","986","1134","888","896","1101","913","830","937","736","794","870","738","688","757","545","565","599","525","441","414","303","295","188","190","100","78","59","33","26","7","","1","1","1"
"gpt-4.1-mini","getCitedOnce","976","5631","1623387","288.29461907298884","3709","575462","155.1528713939067","6630","1793012","270.4392156862745","852","826","725","702","719","657","638","652","598","572","602","495","515","589","520","485","519","441","453","485","437","411","430","350","340","359","309","262","240","186","176","123","110","61","48","40","18","16","6","","1","1","1"
"gpt-4.1-mini","getCitedFirst","976","390","116558","298.8666666666667","239","37106","155.255230125523","271","76727","283.12546125461256","182","157","82","67","61","42","36","24","31","28","19","15","24","29","7","12","13","3","7","6","8","7","8","4","5","6","4","3","3","1","2","2","","","","2","","","","","","",""
